year,variable,value
1999,value_cumsum,0
2000,value_cumsum,0
2001,value_cumsum,0
2002,value_cumsum,0
2003,value_cumsum,1
2004,value_cumsum,1
2005,value_cumsum,1
2006,value_cumsum,1
2007,value_cumsum,1
2008,value_cumsum,2
2009,value_cumsum,3
2010,value_cumsum,3
2011,value_cumsum,9
2012,value_cumsum,9
2013,value_cumsum,10
2014,value_cumsum,14
2015,value_cumsum,22
2016,value_cumsum,28
2017,value_cumsum,32
2018,value_cumsum,41
1999,value_cumsum_s,3
2000,value_cumsum_s,7
2001,value_cumsum_s,7
2002,value_cumsum_s,11
2003,value_cumsum_s,12
2004,value_cumsum_s,13
2005,value_cumsum_s,14
2006,value_cumsum_s,17
2007,value_cumsum_s,26
2008,value_cumsum_s,27
2009,value_cumsum_s,33
2010,value_cumsum_s,44
2011,value_cumsum_s,49
2012,value_cumsum_s,59
2013,value_cumsum_s,76
2014,value_cumsum_s,92
2015,value_cumsum_s,104
2016,value_cumsum_s,116
2017,value_cumsum_s,131
2018,value_cumsum_s,145
